unit_id,source,source_detail,url,retrieved_at,text,platform_mentioned,query_matched,source_genre,vertical
yout_d186df900dc1,youtube,YouTube: IndoEra,https://www.youtube.com/watch?v=z79QZX2ys8w,2026-08-24T03:10:34+00:00,Honestly white chilakati kurta par meri bhi bahut time se nazar hai ..it’s in my wishlist 😀,Other/Unspecified,nykaa fashion haul india,video_comment,fashion
yout_c9666609757a,youtube,YouTube: Mango,https://www.youtube.com/watch?v=P0y-9-BH0N0,2026-08-24T03:10:48+00:00,"Please try terractive tshirts. Heard only good things about their cuddle tshirts. Please review it too. Btw that souled store tshirt is also in my wishlist 😅, but i bought only solid one from them, Nice fit (Size M too)",Other/Unspecified,nykaa fashion haul india,video_comment,fashion
yout_0e8d2bb40956,youtube,YouTube: Round 4,https://www.youtube.com/watch?v=qii3btD9IHs,2026-08-24T03:12:52+00:00,"I totally get this 😭 Yesterday only I was out shopping with my brothers because they wanted to buy jeans and T-shirts, and we were literally talking about the same thing.

Online shopping definitely has its pros, especially convenience and more options, but physical shopping is just so much better in this way. You can actually see the colour, touch the fabric, check the fit and know what you're paying for before buying it.

And with online shopping, even after checking everything properly, sometimes what arrives is still completely different 😭 The return issues just make the whole thing more stressful.

And delivery can be a headache too. Last month I ordered a night suit and had to travel almost 8 km just to pick up the package because the courier service said my area was outside their delivery range.",Other/Unspecified,myntra vs ajio shopping experience india,video_comment,fashion
